individuals,Tdur1,Tdur2,Tdur3,Tdur4,Total,Tint1,Tint2,Tint3,Ffoun1,Ffoun2,Ffoun3,Ffoun4,Fhar1,Fhar2,Fhar3,Fhar4
3,0.145,0.203,0.777,1.799,2.964,0.04,0,0,600,770,680,600,1200,1630,1290,1630
3,0.139,0.197,0.766,1.787,2.947,0.058,0,0,600,680,680,600,1200,1550,1290,1720
3,0.127,0.203,0.766,1.689,2.854,0.069,0,0,600,680,680,600,1200,1550,1290,1630
3,0.145,0.191,0.76,1.816,2.97,0.058,0,0,600,680,680,600,1200,1550,1290,1720
3,0.15,0.185,0.777,1.631,2.801,0.058,0,0,600,680,680,600,1200,1550,1290,1720
3,0.156,0.208,0.748,1.683,2.847,0.052,0,0,600,770,680,600,1200,1550,1290,1630
3,0.156,0.208,0.748,1.648,2.789,0.029,0,0,600,680,680,600,1200,1630,1290,1630
3,0.156,0.203,0.708,1.689,2.785,0.029,0,0,600,770,680,600,1290,1630,1290,1630
3,0.15,0.197,0.76,1.572,2.72,0.041,0,0,600,680,680,600,1200,1550,1550,1630
3,0.139,0.22,0.754,1.787,2.935,0.035,0,0,600,680,680,600,1200,1550,1550,1290
3,0.127,0.191,0.783,1.567,2.738,0.07,0,0,600,770,680,600,1200,1550,1550,1630
3,0.127,0.208,0.783,1.805,2.993,0.07,0,0,600,770,770,680,1200,1630,1550,1290
3,0.139,0.226,0.731,1.735,2.86,0.029,0,0,600,680,680,600,1200,1630,1550,1630
3,0.1214,0.203,0.789,1.869,3.029,0.0466,0,0,600,680,680,600,1200,1550,1550,1290
3,0.121,0.191,0.783,1.747,2.918,0.076,0,0,600,770,680,600,1200,1630,1290,1290
3,0.116,0.214,0.748,1.821,2.962,0.063,0,0,600,680,680,600,1200,1550,1550,1290
3,0.116,0.191,0.789,1.751,2.928,0.081,0,0,600,680,680,600,1200,1630,1550,1630
3,0.104,0.185,0.783,1.642,2.801,0.087,0,0,600,680,680,600,1200,1550,1550,1720
3,0.104,0.191,0.864,1.7,2.946,0.087,0,0,600,770,680,600,1200,1630,1550,1630
3,0.15,0.203,0.737,1.938,3.069,0.041,0,0,600,680,680,600,1200,1550,1550,1550
3,0.139,0.214,0.76,1.787,2.935,0.035,0,0,600,680,680,600,1200,1550,1550,1290
3,0.127,0.191,0.772,1.578,2.738,0.07,0,0,600,770,680,600,1200,1550,1550,1630
3,0.127,0.203,0.795,1.799,2.994,0.07,0,0,600,770,770,680,1200,1630,1550,1630
3,0.139,0.226,0.725,1.724,2.843,0.029,0,0,600,680,680,600,1200,1550,1550,1290
3,0.121,0.22,0.789,1.915,3.092,0.047,0,0,600,680,680,600,1200,1550,1550,1290
3,0.121,0.197,0.795,1.729,2.918,0.076,0,0,600,770,680,600,1200,1630,1550,1630
3,0.116,0.214,0.876,1.718,2.987,0.063,0,0,600,680,680,600,1200,1550,1550,1290
3,0.116,0.214,0.766,1.938,3.115,0.081,0,0,600,680,680,600,1200,1550,1550,1630
3,0.104,0.203,0.772,1.637,2.803,0.087,0,0,600,680,680,600,1200,1550,1550,1720
3,0.104,0.203,0.685,1.718,2.797,0.087,0,0,600,770,680,600,1200,1630,1550,1630
4,0.121,0.162,0.4,0.22,1.356,0.151,0.099,0.203,770,940,860,860,1550,1720,1630,1720
4,0.133,0.168,0.4,0.226,1.38,0.151,0.087,0.215,680,940,860,860,1550,1720,1630,1800
4,0.127,0.179,0.412,0.238,1.374,0.145,0.088,0.185,680,940,860,860,1630,1720,1720,1800
4,0.104,0.174,0.394,0.208,1.338,0.151,0.098,0.209,680,940,860,860,1550,1720,1720,1720
4,0.139,0.191,0.423,0.243,1.385,0.139,0.081,0.169,770,940,860,860,1630,1800,1720,1720
4,0.15,0.197,0.394,0.243,1.362,0.122,0.087,0.169,770,940,860,860,1550,1800,1630,1720
4,0.156,0.185,0.412,0.243,1.373,0.122,0.087,0.168,770,860,860,860,1630,1720,1630,1720
4,0.139,0.191,0.417,0.22,1.34,0.128,0.07,0.175,770,940,860,860,1550,1720,1720,1720
4,0.139,0.191,0.417,0.232,1.374,0.128,0.087,0.18,770,940,860,860,1550,1460,1630,1720
